id;catalogNumber;recordedBy;eventdate;higherGeography;eventRemarks;preparations
819;MPEG.ANL 000066;"Decaëns,  T.;  Lopes, A. M.";30/04/2011;Pará, Melgaço;;Etanol - 1
820;MPEG.ANL 000071;"Decaëns,  T.;  Lopes, A. M.";30/04/2011;Pará, Melgaço;;Etanol - 1
821;MPEG.ANL 000059;"Lavelle, P. ; ,  Equipe";04/06/2008;Pará, Pacajá;;Etanol
822;MPEG.ANL 000065;"Decaëns,  T.;  Lopes, A. M.";30/04/2011;Pará, Melgaço;;Etanol - 1
823;MPEG.ANL 000051;"Lavelle, P. ; ,  Equipe";04/06/2008;Pará, Nova Ipixuna;;Etanol
824;MPEG.ANL 000064;"Decaëns,  T.;  Lopes, A. M.";30/04/2011;Pará, Melgaço;;Etanol - 1
825;MPEG.ANL 000074;"Decaëns,  T.;  Lopes, A. M.";30/04/2011;Pará, Melgaço;;Etanol - 1
826;MPEG.ANL 000061;"Decaëns,  T.;  Lopes, A. M.";30/04/2011;Pará, Melgaço;;Etanol - 1
827;MPEG.ANL 000072;"Decaëns,  T.;  Lopes, A. M.";30/04/2011;Pará, Melgaço;;Etanol - 1
828;MPEG.ANL 000073;"Decaëns,  T.;  Lopes, A. M.";30/04/2011;Pará, Melgaço;;Etanol - 1
829;MPEG.ANL 000057;"Lavelle, P. ; ,  Equipe";04/06/2008;Pará, Parauabepas;;Etanol
830;MPEG.ANL 000056;"Lavelle, P. ; ,  Equipe";04/06/2008;Pará, Parauabepas;;Etanol - 1
831;MPEG.ANL 000060;"Lavelle, P. ; ,  Equipe";04/06/2008;Pará, Pacajá;;Etanol
832;MPEG.ANL 000052;"Lavelle, P. ; ,  Equipe";04/06/2008;Pará, Nova Ipixuna;;Etanol
833;MPEG.ANL 000062;"Decaëns,  T.;  Lopes, A. M.";30/04/2011;Pará, Melgaço;;Etanol - 1
834;MPEG.ANL 000053;"Lavelle, P. ; ,  Equipe";04/06/2008;Pará, Parauabepas;;Etanol - 6
835;MPEG.ANL 000058;"Lavelle, P. ; ,  Equipe";04/06/2008;Pará, Parauabepas;;Etanol - 6
836;MPEG.ANL 000069;"Decaëns,  T.;  Lopes, A. M.";30/04/2011;Pará, Melgaço;;Etanol - 1
837;MPEG.ANL 000067;"Decaëns,  T.;  Lopes, A. M.";30/04/2011;Pará, Melgaço;;Etanol - 1
838;MPEG.ANL 000075;"Decaëns,  T.;  Lopes, A. M.";30/04/2011;Pará, Melgaço;;Etanol - 1
839;MPEG.ANL 000063;"Decaëns,  T.;  Lopes, A. M.";30/04/2011;Pará, Melgaço;;Etanol - 1
840;MPEG.ANL 000068;"Decaëns,  T.;  Lopes, A. M.";30/04/2011;Pará, Melgaço;;Etanol - 1
841;MPEG.ANL 000055;"Lavelle, P. ; ,  Equipe";04/06/2008;Pará, Parauabepas;;Etanol
842;MPEG.ANL 000027;"Lavelle, P. ; ,  Equipe";04/06/2008;Pará, Nova Ipixuna;;Etanol
843;MPEG.ANL 000046;"Lavelle, P. ; ,  Equipe";04/06/2008;Pará, Nova Ipixuna;;Etanol
844;MPEG.ANL 000028;"Lavelle, P. ; ,  Equipe";04/06/2008;Pará, Nova Ipixuna;;Etanol - 9
845;MPEG.ANL 000048;"Lavelle, P. ; ,  Equipe";04/06/2008;Pará, Nova Ipixuna;;Etanol
846;MPEG.ANL 000029;"Lavelle, P. ; ,  Equipe";04/06/2008;Pará, Nova Ipixuna;;Etanol - 4
847;MPEG.ANL 000039;"Lavelle, P. ; ,  Equipe";04/06/2008;Pará, Nova Ipixuna;;Etanol - 2
848;MPEG.ANL 000031;"Lavelle, P. ; ,  Equipe";04/06/2008;Pará, Nova Ipixuna;;Etanol - 3
849;MPEG.ANL 000033;"Lavelle, P. ; ,  Equipe";04/06/2008;Pará, Nova Ipixuna;;Etanol - 2
850;MPEG.ANL 000047;"Lavelle, P. ; ,  Equipe";04/06/2008;Pará, Nova Ipixuna;;Etanol - 1
851;MPEG.ANL 000045;"Lavelle, P. ; ,  Equipe";04/06/2008;Pará, Nova Ipixuna;;Etanol - 2
852;MPEG.ANL 000032;"Lavelle, P. ; ,  Equipe";04/06/2008;Pará, Nova Ipixuna;;Etanol - 1
853;MPEG.ANL 000049;"Lavelle, P. ; ,  Equipe";04/06/2008;Pará, Nova Ipixuna;;Etanol - 1
854;MPEG.ANL 000041;"Lavelle, P. ; ,  Equipe";04/06/2008;Pará, Nova Ipixuna;;Etanol - 3
855;MPEG.ANL 000040;"Lavelle, P. ; ,  Equipe";04/06/2008;Pará, Nova Ipixuna;;Etanol - 8
856;MPEG.ANL 000044;"Lavelle, P. ; ,  Equipe";04/06/2008;Pará, Nova Ipixuna;;Etanol
857;MPEG.ANL 000034;"Lavelle, P. ; ,  Equipe";04/06/2008;Pará, Nova Ipixuna;;Etanol
858;MPEG.ANL 000037;"Lavelle, P. ; ,  Equipe";04/06/2008;Pará, Nova Ipixuna;;Etanol - 6
859;MPEG.ANL 000026;"Lavelle, P. ; ,  Equipe";04/06/2008;Pará, Nova Ipixuna;;Etanol - 11
860;MPEG.ANL 000036;"Lavelle, P. ; ,  Equipe";04/06/2008;Pará, Nova Ipixuna;;Etanol - 4
861;MPEG.ANL 000035;"Lavelle, P. ; ,  Equipe";04/06/2008;Pará, Nova Ipixuna;;Etanol - 1
862;MPEG.ANL 000042;"Lavelle, P. ; ,  Equipe";04/06/2008;Pará, Nova Ipixuna;;Etanol - 20
863;MPEG.ANL 000050;"Lavelle, P. ; ,  Equipe";04/06/2008;Pará, Nova Ipixuna;;Etanol - 3
864;MPEG.ANL 000043;"Lavelle, P. ; ,  Equipe";04/06/2008;Pará, Nova Ipixuna;;Etanol - 2
865;MPEG.ANL 000038;"Lavelle, P. ; ,  Equipe";04/06/2008;Pará, Nova Ipixuna;;Etanol
866;MPEG.ANL 000030;"Lavelle, P. ; ,  Equipe";04/06/2008;Pará, Nova Ipixuna;;Etanol - 1
867;MPEG.ANL 000004;"Lavelle, P. ; ,  Equipe";04/06/2008;Pará, Nova Ipixuna;;Etanol - 5
868;MPEG.ANL 000006;"Lavelle, P. ; ,  Equipe";04/06/2008;Pará, Nova Ipixuna;;Etanol - 10
869;MPEG.ANL 000025;"Lavelle, P. ; ,  Equipe";04/06/2008;Pará, Nova Ipixuna;;Etanol - 3
870;MPEG.ANL 000005;"Lavelle, P. ; ,  Equipe";04/06/2008;Pará, Nova Ipixuna;;Etanol - 3
871;MPEG.ANL 000020;"Lavelle, P. ; ,  Equipe";04/06/2008;Pará, Nova Ipixuna;;Etanol - 5
872;MPEG.ANL 000014;"Lavelle, P. ; ,  Equipe";04/06/2008;Pará, Nova Ipixuna;;Etanol - 1
873;MPEG.ANL 000012;"Lavelle, P. ; ,  Equipe";04/06/2008;Pará, Nova Ipixuna;;Etanol - 1
874;MPEG.ANL 000018;"Lavelle, P. ; ,  Equipe";04/06/2008;Pará, Nova Ipixuna;;Etanol - 3
875;MPEG.ANL 000015;"Lavelle, P. ; ,  Equipe";04/06/2008;Pará, Nova Ipixuna;;Etanol - 1
876;MPEG.ANL 000022;"Lavelle, P. ; ,  Equipe";04/06/2008;Pará, Nova Ipixuna;;Etanol - 8
877;MPEG.ANL 000001;"Lavelle, P. ; ,  Equipe";04/06/2008;Pará, Pacajá;;Etanol - 1
878;MPEG.ANL 000021;"Lavelle, P. ; ,  Equipe";04/06/2008;Pará, Nova Ipixuna;;Etanol - 6
879;MPEG.ANL 000002;"Lavelle, P. ; ,  Equipe";04/06/2008;Pará, Nova Ipixuna;;Etanol - 2
880;MPEG.ANL 000008;"Lavelle, P. ; ,  Equipe";04/06/2008;Pará, Nova Ipixuna;;Etanol - 4
881;MPEG.ANL 000011;"Lavelle, P. ; ,  Equipe";04/06/2008;Pará, Nova Ipixuna;;Etanol - 2
882;MPEG.ANL 000016;"Lavelle, P. ; ,  Equipe";04/06/2008;Pará, Nova Ipixuna;;Etanol - 2
883;MPEG.ANL 000017;"Lavelle, P. ; ,  Equipe";04/06/2008;Pará, Nova Ipixuna;;Etanol - 7
884;MPEG.ANL 000003;"Lavelle, P. ; ,  Equipe";04/06/2008;Pará, Parauabepas;;Etanol - 1
885;MPEG.ANL 000007;"Lavelle, P. ; ,  Equipe";04/06/2008;Pará, Nova Ipixuna;;Etanol - 2
886;MPEG.ANL 000013;"Lavelle, P. ; ,  Equipe";04/06/2008;Pará, Nova Ipixuna;;Etanol - 6
887;MPEG.ANL 000009;"Lavelle, P. ; ,  Equipe";04/06/2008;Pará, Nova Ipixuna;;Etanol - 7
888;MPEG.ANL 000023;"Lavelle, P. ; ,  Equipe";04/06/2008;Pará, Nova Ipixuna;;Etanol - 2
889;MPEG.ANL 000019;"Lavelle, P. ; ,  Equipe";04/06/2008;Pará, Nova Ipixuna;;Etanol - 2
890;MPEG.ANL 000024;"Lavelle, P. ; ,  Equipe";04/06/2008;Pará, Nova Ipixuna;;Etanol - 1
891;MPEG.ANL 000010;"Lavelle, P. ; ,  Equipe";04/06/2008;Pará, Nova Ipixuna;;Etanol - 4
