id;catalogNumber;recordedBy;eventdate;higherGeography;eventRemarks;preparations
503;MPEG.ANL 000396;"Beckman, Ruana; Pena, José; Souza, Raíssa";09/03/2018;Pará, Belém;;Etanol - 3
504;MPEG.ANL 000422;"Beckman, Ruana; Pena, José; Souza, Raíssa";14/09/2017;Pará, Belém;;Etanol - 1
505;MPEG.ANL 000399;"Beckman, Ruana; Pena, José; Souza, Raíssa";09/03/2018;Pará, Belém;;Etanol - 28
506;MPEG.ANL 000502;Brogim, Rosemary;;Pará, Itaituba;Coleta na Sede da Caramuru Alimentos S.A.;EtOH - 4
507;MPEG.ANL 000407;"Beckman, Ruana; Pena, José; Souza, Raíssa";07/03/2018;Pará, Belém;;Etanol - 54
508;MPEG.ANL 000446;"Beckman, Ruana; Pena, José; Souza, Raíssa";24/01/2018;Pará, Belém;;Etanol - 2
509;MPEG.ANL 000397;"Beckman, Ruana; Pena, José; Souza, Raíssa";09/03/2018;Pará, Belém;;Etanol - 6
510;MPEG.ANL 000406;"Beckman, Ruana; Pena, José; Souza, Raíssa";07/03/2018;Pará, Belém;;Etanol - 2
511;MPEG.ANL 000389;"Beckman, Ruana; Pena, José; Souza, Raíssa";05/03/2018;Pará, Belém;;Etanol - 1
512;MPEG.ANL 000398;"Beckman, Ruana; Pena, José; Souza, Raíssa";09/03/2018;Pará, Belém;;Etanol - 2
513;MPEG.ANL 000392;"Beckman, Ruana; Pena, José; Souza, Raíssa";05/03/2018;Pará, Belém;;Etanol - 2
514;MPEG.ANL 000425;"Beckman, Ruana; Pena, José; Souza, Raíssa";24/01/2018;Pará, Belém;;Etanol - 32
515;MPEG.ANL 000391;"Beckman, Ruana; Pena, José; Souza, Raíssa";05/03/2018;Pará, Belém;;Etanol - 5
516;MPEG.ANL 000416;"Beckman, Ruana; Pena, José; Souza, Raíssa";08/03/2018;Pará, Belém;;Etanol - 3
517;MPEG.ANL 000434;"Beckman, Ruana; Pena, José; Souza, Raíssa";26/01/2018;Pará, Belém;;Etanol - 42
518;MPEG.ANL 000409;"Beckman, Ruana; Pena, José; Souza, Raíssa";08/03/2018;Pará, Belém;;Etanol - 1
519;MPEG.ANL 000387;"Beckman, Ruana; Pena, José; Souza, Raíssa";05/03/2018;Pará, Belém;;Etanol - 8
520;MPEG.ANL 000404;"Beckman, Ruana; Pena, José; Souza, Raíssa";07/03/2018;Pará, Belém;;Etanol - 1
521;MPEG.ANL 000395;"Beckman, Ruana; Pena, José; Souza, Raíssa";06/03/2018;Pará, Belém;;Etanol - 1
522;MPEG.ANL 000383;"Beckman, Ruana; Pena, José; Souza, Raíssa";23/01/2018;Pará, Belém;;Etanol - 3
523;MPEG.ANL 000390;"Beckman, Ruana; Pena, José; Souza, Raíssa";05/03/2018;Pará, Belém;;Etanol - 31
524;MPEG.ANL 000504;Brogim, Rosemary;16/12/2017;Pará, Itaituba;Coleta na Sede da Caramuru Alimentos S.A.;EtOH - 5
525;MPEG.ANL 000382;"Beckman, Ruana; Pena, José; Souza, Raíssa";13/09/2017;Pará, Belém;;Etanol - 1
526;MPEG.ANL 000384;"Beckman, Ruana; Pena, José; Souza, Raíssa";29/08/2017;Pará, Belém;;Etanol - 1
527;MPEG.ANL 000424;"Beckman, Ruana; Pena, José; Souza, Raíssa";30/08/2017;Pará, Belém;;Etanol - 1
528;MPEG.ANL 000506;Brogim, Rosemary;16/12/2017;Pará, Itaituba;Coleta na Sede da Caramuru Alimentos S.A.;EtOH - 1
529;MPEG.ANL 000505;Brogim, Rosemary;;Pará, Itaituba;Coleta na Sede da Caramuru Alimentos S.A.;EtOH - 3
530;MPEG.ANL 000385;"Beckman, Ruana; Pena, José; Souza, Raíssa";21/08/2017;Pará, Belém;;Etanol - 3
531;MPEG.ANL 000503;Brogim, Rosemary;16/02/2017;Pará, Itaituba;Coleta na Sede da Caramuru Alimentos S.A.;EtOH - 2
532;MPEG.ANL 000393;"Beckman, Ruana; Pena, José; Souza, Raíssa";06/03/2018;Pará, Belém;;Etanol - 17
533;MPEG.ANL 000351;Ditadi, A.S.F.;27/02/1983;Mato Grosso;;Etanol - 1
534;MPEG.ANL 000356;Bittencourt, N.;30/10/1985;Pará, Carajás;;Etanol - 1
535;MPEG.ANL 000359;Bittencourt, N.;30/10/1985;Pará, Carajás;;Etanol - 4
536;MPEG.ANL 000357;"Torres, M.F.; Neto, R.B.";28/01/1985;Pará, Carajás;;Etanol - 2
537;MPEG.ANL 000352;Overal, W.L.;13/05/1984;Pará, Jacundá;;Etanol - 6
538;MPEG.ANL 000353;Ditadi, A.S.F.;25/02/1983;Mato Grosso;;Etanol - 10
539;MPEG.ANL 000358;Dias, J.;30/10/1985;Pará, Carajás;;Etanol - 4
540;MPEG.ANL 000354;Dias, J.;29/10/1985;Pará, Carajás;;Etanol - 2
541;MPEG.ANL 000326;"Muñoz, J.; Rousseau, Guillaume; Cabezas, R.";28/05/2014;Maranhão, Rosário;;Etanol - 2
542;MPEG.ANL 000345;Overal, W.L.;12/03/1984;Pará;;Etanol - 5
543;MPEG.ANL 000341;Overal, W.L.;05/03/1984;Pará;;Etanol - 1
544;MPEG.ANL 000348;Froehlich, E.M.;01/04/1983;Mato Grosso;;Etanol - 6
545;MPEG.ANL 000339;Overal, W.L.;26/06/1984;Pará;;Etanol - 1
546;MPEG.ANL 000331;"dos Santos, R.; Rousseau, Guillaume";01/06/2010;Maranhão, Alcântara;;Etanol - 3
547;MPEG.ANL 000340;Overal, W.L.;12/05/1984;Pará, Jacundá;;Etanol - 5
548;MPEG.ANL 000334;"dos Santos, R.; Rousseau, Guillaume";01/06/2010;Maranhão, Alcântara;;Etanol - 1
549;MPEG.ANL 000337;"Mascarenhas, B.; Torres, M.F.";03/04/1984;Pará;;Etanol - 1
550;MPEG.ANL 000346;Overal, W.L.;10/03/1984;Pará, Tucuruí;;Etanol - 1
