id;taxonRank;taxonomicStatus;publishingCountry;hasCoordinate;hasGeospatialIssues
527;ORDER;DOUBTFUL;BR;TRUE;FALSE
528;CLASS;SYNONYM;BR;FALSE;FALSE
529;CLASS;ACCEPTED;BR;FALSE;FALSE
530;ORDER;DOUBTFUL;BR;TRUE;FALSE
531;CLASS;SYNONYM;BR;FALSE;FALSE
532;ORDER;DOUBTFUL;BR;TRUE;FALSE
533;SPECIES;ACCEPTED;BR;FALSE;FALSE
534;KINGDOM;;BR;FALSE;FALSE
535;GENUS;ACCEPTED;BR;FALSE;FALSE
536;GENUS;ACCEPTED;BR;FALSE;FALSE
537;SUBSPECIES;ACCEPTED;BR;TRUE;FALSE
538;SUBSPECIES;ACCEPTED;BR;FALSE;FALSE
539;GENUS;ACCEPTED;BR;FALSE;FALSE
540;SPECIES;SYNONYM;BR;FALSE;FALSE
541;KINGDOM;;BR;TRUE;FALSE
542;SUBSPECIES;ACCEPTED;BR;FALSE;FALSE
543;SUBSPECIES;ACCEPTED;BR;FALSE;FALSE
544;SPECIES;ACCEPTED;BR;FALSE;FALSE
545;SPECIES;ACCEPTED;BR;FALSE;FALSE
546;KINGDOM;;BR;TRUE;FALSE
547;SUBSPECIES;ACCEPTED;BR;TRUE;FALSE
548;KINGDOM;;BR;TRUE;FALSE
549;SPECIES;ACCEPTED;BR;FALSE;FALSE
550;SUBSPECIES;ACCEPTED;BR;TRUE;FALSE
551;SUBSPECIES;ACCEPTED;BR;FALSE;FALSE
552;KINGDOM;;BR;TRUE;FALSE
553;KINGDOM;;BR;TRUE;FALSE
554;KINGDOM;;BR;TRUE;FALSE
555;SPECIES;ACCEPTED;BR;FALSE;FALSE
556;SPECIES;ACCEPTED;BR;FALSE;FALSE
557;SPECIES;SYNONYM;BR;FALSE;FALSE
558;GENUS;ACCEPTED;BR;FALSE;FALSE
559;KINGDOM;;BR;TRUE;FALSE
560;SUBSPECIES;ACCEPTED;BR;FALSE;FALSE
561;SPECIES;ACCEPTED;BR;FALSE;FALSE
562;SUBSPECIES;ACCEPTED;BR;FALSE;FALSE
563;KINGDOM;;BR;TRUE;FALSE
564;GENUS;DOUBTFUL;BR;TRUE;FALSE
565;GENUS;DOUBTFUL;BR;TRUE;FALSE
566;GENUS;DOUBTFUL;BR;TRUE;FALSE
567;GENUS;DOUBTFUL;BR;TRUE;FALSE
568;GENUS;DOUBTFUL;BR;TRUE;FALSE
569;GENUS;DOUBTFUL;BR;TRUE;FALSE
570;SUBSPECIES;ACCEPTED;BR;FALSE;FALSE
571;GENUS;DOUBTFUL;BR;TRUE;FALSE
572;GENUS;DOUBTFUL;BR;TRUE;FALSE
573;GENUS;DOUBTFUL;BR;TRUE;FALSE
574;GENUS;DOUBTFUL;BR;TRUE;FALSE
575;GENUS;DOUBTFUL;BR;TRUE;FALSE
576;GENUS;DOUBTFUL;BR;TRUE;FALSE
577;GENUS;DOUBTFUL;BR;TRUE;FALSE
578;GENUS;DOUBTFUL;BR;TRUE;FALSE
579;SPECIES;ACCEPTED;BR;FALSE;FALSE
580;GENUS;DOUBTFUL;BR;TRUE;FALSE
581;GENUS;DOUBTFUL;BR;TRUE;FALSE
582;GENUS;DOUBTFUL;BR;TRUE;FALSE
583;KINGDOM;;BR;TRUE;FALSE
584;GENUS;DOUBTFUL;BR;TRUE;FALSE
585;GENUS;DOUBTFUL;BR;TRUE;FALSE
586;GENUS;DOUBTFUL;BR;TRUE;FALSE
587;GENUS;DOUBTFUL;BR;TRUE;FALSE
