id;occurrenceID;catalogNumber;recordedBy;preparations;date;year;month;day;eventRemarks;higherGeography;continent;countryCode;stateProvince;county;locality;decimalLatitude;decimalLongitude;typeStatus;scientificName;kingdom;phylum;class;order;family;genus;genericName;specificEpithet;infraspecificEpithet;taxonRank;taxonomicStatus;publishingCountry;lastInterpreted;hasCoordinate;hasGeospatialIssues;taxonKey;acceptedTaxonKey;kingdomKey;phylumKey;classKey;orderKey;familyKey;genusKey;speciesKey;species;acceptedScientificName;verbatimScientificName;repatriated;level0Gid;level0Name;level1Gid;level1Name;level2Gid;level2Name;iucnRedListCategory
518;MPEG.ANL 000409;MPEG.ANL 000409;"Beckman, Ruana; Pena, José; Souza, Raíssa";Etanol - 1;08/03/2018;2018;3;8;;Pará, Belém;SOUTH_AMERICA;BR;Pará;Belém;Mocambo;-1,440694;-48,41125;;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;ORDER;DOUBTFUL;BR;2023-09-07T09:19:05.948Z;TRUE;FALSE;472;472;1;42;255;472;;;;;Haplotaxida;Haplotaxida;FALSE;BRA;Brazil;BRA.14_1;Pará;BRA.14.19_2;Belém;NE
519;MPEG.ANL 000387;MPEG.ANL 000387;"Beckman, Ruana; Pena, José; Souza, Raíssa";Etanol - 8;05/03/2018;2018;3;5;;Pará, Belém;SOUTH_AMERICA;BR;Pará;Belém;Mocambo;-1,440694;-48,41125;;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;ORDER;DOUBTFUL;BR;2023-09-07T09:19:05.941Z;TRUE;FALSE;472;472;1;42;255;472;;;;;Haplotaxida;Haplotaxida;FALSE;BRA;Brazil;BRA.14_1;Pará;BRA.14.19_2;Belém;NE
520;MPEG.ANL 000404;MPEG.ANL 000404;"Beckman, Ruana; Pena, José; Souza, Raíssa";Etanol - 1;07/03/2018;2018;3;7;;Pará, Belém;SOUTH_AMERICA;BR;Pará;Belém;Mocambo;-1,440694;-48,41125;;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;ORDER;DOUBTFUL;BR;2023-09-07T09:19:05.948Z;TRUE;FALSE;472;472;1;42;255;472;;;;;Haplotaxida;Haplotaxida;FALSE;BRA;Brazil;BRA.14_1;Pará;BRA.14.19_2;Belém;NE
521;MPEG.ANL 000395;MPEG.ANL 000395;"Beckman, Ruana; Pena, José; Souza, Raíssa";Etanol - 1;06/03/2018;2018;3;6;;Pará, Belém;SOUTH_AMERICA;BR;Pará;Belém;Mocambo;-1,440694;-48,41125;;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;ORDER;DOUBTFUL;BR;2023-09-07T09:19:05.941Z;TRUE;FALSE;472;472;1;42;255;472;;;;;Haplotaxida;Haplotaxida;FALSE;BRA;Brazil;BRA.14_1;Pará;BRA.14.19_2;Belém;NE
522;MPEG.ANL 000383;MPEG.ANL 000383;"Beckman, Ruana; Pena, José; Souza, Raíssa";Etanol - 3;23/01/2018;2018;1;23;;Pará, Belém;SOUTH_AMERICA;BR;Pará;Belém;Mocambo;-1,440694;-48,41125;;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;ORDER;DOUBTFUL;BR;2023-09-07T09:19:05.941Z;TRUE;FALSE;472;472;1;42;255;472;;;;;Haplotaxida;Haplotaxida;FALSE;BRA;Brazil;BRA.14_1;Pará;BRA.14.19_2;Belém;NE
523;MPEG.ANL 000390;MPEG.ANL 000390;"Beckman, Ruana; Pena, José; Souza, Raíssa";Etanol - 31;05/03/2018;2018;3;5;;Pará, Belém;SOUTH_AMERICA;BR;Pará;Belém;Mocambo;-1,440694;-48,41125;;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;ORDER;DOUBTFUL;BR;2023-09-07T09:19:05.941Z;TRUE;FALSE;472;472;1;42;255;472;;;;;Haplotaxida;Haplotaxida;FALSE;BRA;Brazil;BRA.14_1;Pará;BRA.14.19_2;Belém;NE
524;MPEG.ANL 000504;MPEG.ANL 000504;Brogim, Rosemary;EtOH - 5;16/12/2017;2017;12;16;Coleta na Sede da Caramuru Alimentos S.A.;Pará, Itaituba;SOUTH_AMERICA;BR;Pará;Itaituba;Rio Tapajós;;;;Oligochaeta;Animalia;Annelida;Clitellata;;;;Oligochaeta;;;CLASS;SYNONYM;BR;2023-09-07T09:19:05.940Z;FALSE;FALSE;8166676;255;1;42;255;;;;;;Clitellata;Oligochaeta;FALSE;;;;;;;
525;MPEG.ANL 000382;MPEG.ANL 000382;"Beckman, Ruana; Pena, José; Souza, Raíssa";Etanol - 1;13/09/2017;2017;9;13;;Pará, Belém;SOUTH_AMERICA;BR;Pará;Belém;Mocambo;-1,440694;-48,41125;;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;ORDER;DOUBTFUL;BR;2023-09-07T09:19:05.941Z;TRUE;FALSE;472;472;1;42;255;472;;;;;Haplotaxida;Haplotaxida;FALSE;BRA;Brazil;BRA.14_1;Pará;BRA.14.19_2;Belém;NE
526;MPEG.ANL 000384;MPEG.ANL 000384;"Beckman, Ruana; Pena, José; Souza, Raíssa";Etanol - 1;29/08/2017;2017;8;29;;Pará, Belém;SOUTH_AMERICA;BR;Pará;Belém;Mocambo;-1,440694;-48,41125;;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;ORDER;DOUBTFUL;BR;2023-09-07T09:19:05.941Z;TRUE;FALSE;472;472;1;42;255;472;;;;;Haplotaxida;Haplotaxida;FALSE;BRA;Brazil;BRA.14_1;Pará;BRA.14.19_2;Belém;NE
527;MPEG.ANL 000424;MPEG.ANL 000424;"Beckman, Ruana; Pena, José; Souza, Raíssa";Etanol - 1;30/08/2017;2017;8;30;;Pará, Belém;SOUTH_AMERICA;BR;Pará;Belém;Mocambo;-1,440694;-48,41125;;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;ORDER;DOUBTFUL;BR;2023-09-07T09:19:05.948Z;TRUE;FALSE;472;472;1;42;255;472;;;;;Haplotaxida;Haplotaxida;FALSE;BRA;Brazil;BRA.14_1;Pará;BRA.14.19_2;Belém;NE
