id;specimentype;species;scientificName;verbatimScientificName;sp_kingdom;sp_phylum;sp_class;sp_order;sp_family;sp_genus;genericName;specificEpithet;infraspecificEpithet;iucnRedListCategory
346;;;Lumbriculidae;Lumbriculidae;Animalia;Annelida;Clitellata;Lumbriculida;Lumbriculidae;;Lumbriculidae;;;
347;;;Lumbriculidae;Lumbriculidae;Animalia;Annelida;Clitellata;Lumbriculida;Lumbriculidae;;Lumbriculidae;;;
348;;;Oligochaeta;Oligochaeta;Animalia;Annelida;Clitellata;;;;Oligochaeta;;;
349;;;Oligochaeta;Oligochaeta;Animalia;Annelida;Clitellata;;;;Oligochaeta;;;
350;;;Oligochaeta;Oligochaeta;Animalia;Annelida;Clitellata;;;;Oligochaeta;;;
351;;;Oligochaeta;Oligochaeta;Animalia;Annelida;Clitellata;;;;Oligochaeta;;;
352;;;Oligochaeta;Oligochaeta;Animalia;Annelida;Clitellata;;;;Oligochaeta;;;
353;;;Oligochaeta;Oligochaeta;Animalia;Annelida;Clitellata;;;;Oligochaeta;;;
354;;;Naididae;Naididae;Animalia;Annelida;Clitellata;Tubificida;Naididae;;Naididae;;;NE
355;;;Lumbriculidae;Lumbriculidae;Animalia;Annelida;Clitellata;Lumbriculida;Lumbriculidae;;Lumbriculidae;;;
356;;;Oligochaeta;Oligochaeta;Animalia;Annelida;Clitellata;;;;Oligochaeta;;;
357;;;Oligochaeta;Oligochaeta;Animalia;Annelida;Clitellata;;;;Oligochaeta;;;
358;;;Lumbriculidae;Lumbriculidae;Animalia;Annelida;Clitellata;Lumbriculida;Lumbriculidae;;Lumbriculidae;;;
359;;;Oligochaeta;Oligochaeta;Animalia;Annelida;Clitellata;;;;Oligochaeta;;;
360;;;Oligochaeta;Oligochaeta;Animalia;Annelida;Clitellata;;;;Oligochaeta;;;
361;;;Oligochaeta;Oligochaeta;Animalia;Annelida;Clitellata;;;;Oligochaeta;;;
362;;;Oligochaeta;Oligochaeta;Animalia;Annelida;Clitellata;;;;Oligochaeta;;;
363;;;Lumbriculidae;Lumbriculidae;Animalia;Annelida;Clitellata;Lumbriculida;Lumbriculidae;;Lumbriculidae;;;
364;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
