id;specimentype;species;scientificName;verbatimScientificName;sp_kingdom;sp_phylum;sp_class;sp_order;sp_family;sp_genus;genericName;specificEpithet;infraspecificEpithet;iucnRedListCategory
516;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
517;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
518;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
519;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
520;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
521;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
522;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
523;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
524;;;Oligochaeta;Oligochaeta;Animalia;Annelida;Clitellata;;;;Oligochaeta;;;
525;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
526;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
527;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
528;;;Oligochaeta;Oligochaeta;Animalia;Annelida;Clitellata;;;;Oligochaeta;;;
529;;;Clitellata;Clitellata;Animalia;Annelida;Clitellata;;;;Clitellata;;;NE
530;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
531;;;Oligochaeta;Oligochaeta;Animalia;Annelida;Clitellata;;;;Oligochaeta;;;
532;;;Haplotaxida;Haplotaxida;Animalia;Annelida;Clitellata;Haplotaxida;;;Haplotaxida;;;NE
533;;Dichogaster saliens;Dichogaster saliens (Beddard, 1893);Dichogaster saliens;Animalia;Annelida;Clitellata;Crassiclitellata;Octochaetidae;Dichogaster;Dichogaster;saliens;;NE
534;;;incertae sedis;;incertae sedis;;;;;;;;;
535;;;Urobenus Benham, 1886;Urobenus;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Urobenus;Urobenus;;;
536;;;Diachaeta Benham, 1886;Diachaeta;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Diachaeta;Diachaeta;;;
537;;Wegeneriella divergens;Wegeneriella divergens itapecu Righi, Ayres & Bittencourt, 1978;itapecu;Animalia;Annelida;Clitellata;Crassiclitellata;Octochaetidae;Wegeneriella;Wegeneriella;divergens;itapecu;
538;;Wegeneriella divergens;Wegeneriella divergens itapecu Righi, Ayres & Bittencourt, 1978;itapecu;Animalia;Annelida;Clitellata;Crassiclitellata;Octochaetidae;Wegeneriella;Wegeneriella;divergens;itapecu;
539;;;Urobenus Benham, 1886;Urobenus;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Urobenus;Urobenus;;;
540;;Rhinodrilus brasiliensis;Urobenus brasiliensis Benham, 1886;Urobenus brasiliensis;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Rhinodrilus;Urobenus;brasiliensis;;NE
541;PARATYPE;;incertae sedis;;incertae sedis;;;;;;;;;
542;;Dichogaster bolaui;Dichogaster bolaui bolaui;bolaui;Animalia;Annelida;Clitellata;Crassiclitellata;Octochaetidae;Dichogaster;Dichogaster;bolaui;bolaui;
543;;Dichogaster andina;Dichogaster andina evae Righi, Ayres & Bittencourt, 1978;evae;Animalia;Annelida;Clitellata;Crassiclitellata;Octochaetidae;Dichogaster;Dichogaster;andina;evae;
544;;Pontoscolex corethrurus;Pontoscolex corethrurus (Muller, 1856);Pontoscolex corethrurus;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Pontoscolex;Pontoscolex;corethrurus;;NE
545;;Urobenus petrerei;Urobenus petrerei Righi, 1985;Urobenus petrerei;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Urobenus;Urobenus;petrerei;;NE
546;PARATYPE;;incertae sedis;;incertae sedis;;;;;;;;;
547;;Dichogaster andina;Dichogaster andina evae Righi, Ayres & Bittencourt, 1978;evae;Animalia;Annelida;Clitellata;Crassiclitellata;Octochaetidae;Dichogaster;Dichogaster;andina;evae;
548;PARATYPE;;incertae sedis;;incertae sedis;;;;;;;;;
549;;Rhinodrilus jucundus;Rhinodrilus jucundus Righi, 1985;Rhinodrilus jucundus;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Rhinodrilus;Rhinodrilus;jucundus;;NE
550;;Dichogaster bolaui;Dichogaster bolaui bolaui;bolaui;Animalia;Annelida;Clitellata;Crassiclitellata;Octochaetidae;Dichogaster;Dichogaster;bolaui;bolaui;
551;;Dichogaster bolaui;Dichogaster bolaui bolaui;bolaui;Animalia;Annelida;Clitellata;Crassiclitellata;Octochaetidae;Dichogaster;Dichogaster;bolaui;bolaui;
552;PARATYPE;;incertae sedis;;incertae sedis;;;;;;;;;
553;PARATYPE;;incertae sedis;;incertae sedis;;;;;;;;;
554;PARATYPE;;incertae sedis;;incertae sedis;;;;;;;;;
555;;Rhinodrilus jucundus;Rhinodrilus jucundus Righi, 1985;Rhinodrilus jucundus;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Rhinodrilus;Rhinodrilus;jucundus;;NE
556;;Pontoscolex corethrurus;Pontoscolex corethrurus (Muller, 1856);Pontoscolex corethrurus;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Pontoscolex;Pontoscolex;corethrurus;;NE
557;;Centropygos joseensis;Cylicobdella joseensis (Grube & Örsted, 1859);Cylicobdella  joseensis;Animalia;Annelida;Clitellata;Arhynchobdellida;Cylicobdellidae;Centropygos;Cylicobdella;joseensis;;NE
558;;;Urobenus Benham, 1886;Urobenus;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Urobenus;Urobenus;;;
559;PARATYPE;;incertae sedis;;incertae sedis;;;;;;;;;
560;;Dichogaster andina;Dichogaster andina evae Righi, Ayres & Bittencourt, 1978;evae;Animalia;Annelida;Clitellata;Crassiclitellata;Octochaetidae;Dichogaster;Dichogaster;andina;evae;
561;;Rhinodrilus jucundus;Rhinodrilus jucundus Righi, 1985;Rhinodrilus jucundus;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Rhinodrilus;Rhinodrilus;jucundus;;NE
562;;Dichogaster andina;Dichogaster andina evae Righi, Ayres & Bittencourt, 1978;evae;Animalia;Annelida;Clitellata;Crassiclitellata;Octochaetidae;Dichogaster;Dichogaster;andina;evae;
563;PARATYPE;;incertae sedis;;incertae sedis;;;;;;;;;
564;PARATYPE;;Holoscolex Cognetti de Martiis, 1904;Holoscolex;Animalia;Annelida;Clitellata;Haplotaxida;Glossoscolecidae;Holoscolex;Holoscolex;;;
565;PARATYPE;;Turedrilus Righi, 1993;Turedrilus;Animalia;Annelida;Clitellata;;;Turedrilus;Turedrilus;;;
566;HOLOTYPE;;Turedrilus Righi, 1993;Turedrilus;Animalia;Annelida;Clitellata;;;Turedrilus;Turedrilus;;;
567;HOLOTYPE;;Turedrilus Righi, 1993;Turedrilus;Animalia;Annelida;Clitellata;;;Turedrilus;Turedrilus;;;
568;PARATYPE;;Holoscolex Cognetti de Martiis, 1904;Holoscolex;Animalia;Annelida;Clitellata;Haplotaxida;Glossoscolecidae;Holoscolex;Holoscolex;;;
569;PARATYPE;;Holoscolex Cognetti de Martiis, 1904;Holoscolex;Animalia;Annelida;Clitellata;Haplotaxida;Glossoscolecidae;Holoscolex;Holoscolex;;;
570;;Dichogaster andina;Dichogaster andina evae Righi, Ayres & Bittencourt, 1978;evae;Animalia;Annelida;Clitellata;Crassiclitellata;Octochaetidae;Dichogaster;Dichogaster;andina;evae;
571;PARATYPE;;Holoscolex Cognetti de Martiis, 1904;Holoscolex;Animalia;Annelida;Clitellata;Haplotaxida;Glossoscolecidae;Holoscolex;Holoscolex;;;
572;PARATYPE;;Holoscolex Cognetti de Martiis, 1904;Holoscolex;Animalia;Annelida;Clitellata;Haplotaxida;Glossoscolecidae;Holoscolex;Holoscolex;;;
573;PARATYPE;;Holoscolex Cognetti de Martiis, 1904;Holoscolex;Animalia;Annelida;Clitellata;Haplotaxida;Glossoscolecidae;Holoscolex;Holoscolex;;;
574;HOLOTYPE;;Turedrilus Righi, 1993;Turedrilus;Animalia;Annelida;Clitellata;;;Turedrilus;Turedrilus;;;
575;PARATYPE;;Turedrilus Righi, 1993;Turedrilus;Animalia;Annelida;Clitellata;;;Turedrilus;Turedrilus;;;
576;HOLOTYPE;;Holoscolex Cognetti de Martiis, 1904;Holoscolex;Animalia;Annelida;Clitellata;Haplotaxida;Glossoscolecidae;Holoscolex;Holoscolex;;;
577;PARATYPE;;Holoscolex Cognetti de Martiis, 1904;Holoscolex;Animalia;Annelida;Clitellata;Haplotaxida;Glossoscolecidae;Holoscolex;Holoscolex;;;
578;PARATYPE;;Holoscolex Cognetti de Martiis, 1904;Holoscolex;Animalia;Annelida;Clitellata;Haplotaxida;Glossoscolecidae;Holoscolex;Holoscolex;;;
579;;Dichogaster servi;Dichogaster servi Righi & Ayres, 1975;Dichogaster servi;Animalia;Annelida;Clitellata;Crassiclitellata;Octochaetidae;Dichogaster;Dichogaster;servi;;NE
580;HOLOTYPE;;Holoscolex Cognetti de Martiis, 1904;Holoscolex;Animalia;Annelida;Clitellata;Haplotaxida;Glossoscolecidae;Holoscolex;Holoscolex;;;
581;PARATYPE;;Turedrilus Righi, 1993;Turedrilus;Animalia;Annelida;Clitellata;;;Turedrilus;Turedrilus;;;
582;PARATYPE;;Holoscolex Cognetti de Martiis, 1904;Holoscolex;Animalia;Annelida;Clitellata;Haplotaxida;Glossoscolecidae;Holoscolex;Holoscolex;;;
583;PARATYPE;;incertae sedis;;incertae sedis;;;;;;;;;
584;PARATYPE;;Holoscolex Cognetti de Martiis, 1904;Holoscolex;Animalia;Annelida;Clitellata;Haplotaxida;Glossoscolecidae;Holoscolex;Holoscolex;;;
585;PARATYPE;;Turedrilus Righi, 1993;Turedrilus;Animalia;Annelida;Clitellata;;;Turedrilus;Turedrilus;;;
586;PARATYPE;;Holoscolex Cognetti de Martiis, 1904;Holoscolex;Animalia;Annelida;Clitellata;Haplotaxida;Glossoscolecidae;Holoscolex;Holoscolex;;;
587;PARATYPE;;Holoscolex Cognetti de Martiis, 1904;Holoscolex;Animalia;Annelida;Clitellata;Haplotaxida;Glossoscolecidae;Holoscolex;Holoscolex;;;
588;PARATYPE;;Turedrilus Righi, 1993;Turedrilus;Animalia;Annelida;Clitellata;;;Turedrilus;Turedrilus;;;
589;;;Righiodrilus Zicsi, 1995;Righiodrilus;Animalia;Annelida;Clitellata;Haplotaxida;Glossoscolecidae;Righiodrilus;Righiodrilus;;;
590;PARATYPE;;Righiodrilus Zicsi, 1995;Righiodrilus;Animalia;Annelida;Clitellata;Haplotaxida;Glossoscolecidae;Righiodrilus;Righiodrilus;;;
591;PARATYPE;;Holoscolex Cognetti de Martiis, 1904;Holoscolex;Animalia;Annelida;Clitellata;Haplotaxida;Glossoscolecidae;Holoscolex;Holoscolex;;;
592;PARATYPE;;Righiodrilus Zicsi, 1995;Righiodrilus;Animalia;Annelida;Clitellata;Haplotaxida;Glossoscolecidae;Righiodrilus;Righiodrilus;;;
593;PARATYPE;;Turedrilus Righi, 1993;Turedrilus;Animalia;Annelida;Clitellata;;;Turedrilus;Turedrilus;;;
594;PARATYPE;;Righiodrilus Zicsi, 1995;Righiodrilus;Animalia;Annelida;Clitellata;Haplotaxida;Glossoscolecidae;Righiodrilus;Righiodrilus;;;
595;PARATYPE;;Righiodrilus Zicsi, 1995;Righiodrilus;Animalia;Annelida;Clitellata;Haplotaxida;Glossoscolecidae;Righiodrilus;Righiodrilus;;;
596;PARATYPE;;Righiodrilus Zicsi, 1995;Righiodrilus;Animalia;Annelida;Clitellata;Haplotaxida;Glossoscolecidae;Righiodrilus;Righiodrilus;;;
597;;;incertae sedis;;incertae sedis;;;;;;;;;
598;;;incertae sedis;;incertae sedis;;;;;;;;;
599;PARATYPE;;Righiodrilus Zicsi, 1995;Righiodrilus;Animalia;Annelida;Clitellata;Haplotaxida;Glossoscolecidae;Righiodrilus;Righiodrilus;;;
600;PARATYPE;;Holoscolex Cognetti de Martiis, 1904;Holoscolex;Animalia;Annelida;Clitellata;Haplotaxida;Glossoscolecidae;Holoscolex;Holoscolex;;;
601;;;Righiodrilus Zicsi, 1995;Righiodrilus;Animalia;Annelida;Clitellata;Haplotaxida;Glossoscolecidae;Righiodrilus;Righiodrilus;;;
602;;;Righiodrilus Zicsi, 1995;Righiodrilus;Animalia;Annelida;Clitellata;Haplotaxida;Glossoscolecidae;Righiodrilus;Righiodrilus;;;
603;;;incertae sedis;;incertae sedis;;;;;;;;;
604;PARATYPE;;Righiodrilus Zicsi, 1995;Righiodrilus;Animalia;Annelida;Clitellata;Haplotaxida;Glossoscolecidae;Righiodrilus;Righiodrilus;;;
605;HOLOTYPE;;incertae sedis;;incertae sedis;;;;;;;;;
606;;;Holoscolex Cognetti de Martiis, 1904;Holoscolex;Animalia;Annelida;Clitellata;Haplotaxida;Glossoscolecidae;Holoscolex;Holoscolex;;;
607;;;Rhinodrilus Perrier, 1872;Rhinodrilus;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Rhinodrilus;Rhinodrilus;;;
608;PARATYPE;;Righiodrilus Zicsi, 1995;Righiodrilus;Animalia;Annelida;Clitellata;Haplotaxida;Glossoscolecidae;Righiodrilus;Righiodrilus;;;
609;PARATYPE;;Holoscolex Cognetti de Martiis, 1904;Holoscolex;Animalia;Annelida;Clitellata;Haplotaxida;Glossoscolecidae;Holoscolex;Holoscolex;;;
610;;;Righiodrilus Zicsi, 1995;Righiodrilus;Animalia;Annelida;Clitellata;Haplotaxida;Glossoscolecidae;Righiodrilus;Righiodrilus;;;
611;PARATYPE;;Righiodrilus Zicsi, 1995;Righiodrilus;Animalia;Annelida;Clitellata;Haplotaxida;Glossoscolecidae;Righiodrilus;Righiodrilus;;;
612;PARATYPE;;Righiodrilus Zicsi, 1995;Righiodrilus;Animalia;Annelida;Clitellata;Haplotaxida;Glossoscolecidae;Righiodrilus;Righiodrilus;;;
613;;Pontoscolex corethrurus;Pontoscolex corethrurus (Muller, 1856);Pontoscolex corethrurus;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Pontoscolex;Pontoscolex;corethrurus;;NE
614;;;incertae sedis;;incertae sedis;;;;;;;;;
615;;;Righiodrilus Zicsi, 1995;Righiodrilus;Animalia;Annelida;Clitellata;Haplotaxida;Glossoscolecidae;Righiodrilus;Righiodrilus;;;
616;;;incertae sedis;;incertae sedis;;;;;;;;;
617;;;Righiodrilus Zicsi, 1995;Righiodrilus;Animalia;Annelida;Clitellata;Haplotaxida;Glossoscolecidae;Righiodrilus;Righiodrilus;;;
618;PARATYPE;;Righiodrilus Zicsi, 1995;Righiodrilus;Animalia;Annelida;Clitellata;Haplotaxida;Glossoscolecidae;Righiodrilus;Righiodrilus;;;
619;;;incertae sedis;;incertae sedis;;;;;;;;;
620;;;incertae sedis;;incertae sedis;;;;;;;;;
621;;;Holoscolex Cognetti de Martiis, 1904;Holoscolex;Animalia;Annelida;Clitellata;Haplotaxida;Glossoscolecidae;Holoscolex;Holoscolex;;;
622;;;Righiodrilus Zicsi, 1995;Righiodrilus;Animalia;Annelida;Clitellata;Haplotaxida;Glossoscolecidae;Righiodrilus;Righiodrilus;;;
623;;;Glossodrilus Cognetti de Martiis, 1905;Glossodrilus;Animalia;Annelida;Clitellata;Haplotaxida;Glossoscolecidae;Glossodrilus;Glossodrilus;;;
624;;;incertae sedis;;incertae sedis;;;;;;;;;
625;;;Glossodrilus Cognetti de Martiis, 1905;Glossodrilus;Animalia;Annelida;Clitellata;Haplotaxida;Glossoscolecidae;Glossodrilus;Glossodrilus;;;
626;;;Righiodrilus Zicsi, 1995;Righiodrilus;Animalia;Annelida;Clitellata;Haplotaxida;Glossoscolecidae;Righiodrilus;Righiodrilus;;;
627;;;incertae sedis;;incertae sedis;;;;;;;;;
628;;;Righiodrilus Zicsi, 1995;Righiodrilus;Animalia;Annelida;Clitellata;Haplotaxida;Glossoscolecidae;Righiodrilus;Righiodrilus;;;
629;PARATYPE;;Holoscolex Cognetti de Martiis, 1904;Holoscolex;Animalia;Annelida;Clitellata;Haplotaxida;Glossoscolecidae;Holoscolex;Holoscolex;;;
630;;;incertae sedis;;incertae sedis;;;;;;;;;
631;;;Righiodrilus Zicsi, 1995;Righiodrilus;Animalia;Annelida;Clitellata;Haplotaxida;Glossoscolecidae;Righiodrilus;Righiodrilus;;;
632;;;incertae sedis;;incertae sedis;;;;;;;;;
633;;;incertae sedis;;incertae sedis;;;;;;;;;
634;;;Glossodrilus Cognetti de Martiis, 1905;Glossodrilus;Animalia;Annelida;Clitellata;Haplotaxida;Glossoscolecidae;Glossodrilus;Glossodrilus;;;
635;;;Righiodrilus Zicsi, 1995;Righiodrilus;Animalia;Annelida;Clitellata;Haplotaxida;Glossoscolecidae;Righiodrilus;Righiodrilus;;;
636;;;Holoscolex Cognetti de Martiis, 1904;Holoscolex;Animalia;Annelida;Clitellata;Haplotaxida;Glossoscolecidae;Holoscolex;Holoscolex;;;
637;;;incertae sedis;;incertae sedis;;;;;;;;;
638;;;Rhinodrilus Perrier, 1872;Rhinodrilus;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Rhinodrilus;Rhinodrilus;;;
639;;;Righiodrilus Zicsi, 1995;Righiodrilus;Animalia;Annelida;Clitellata;Haplotaxida;Glossoscolecidae;Righiodrilus;Righiodrilus;;;
640;;Pontoscolex corethrurus;Pontoscolex corethrurus (Muller, 1856);Pontoscolex corethrurus;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Pontoscolex;Pontoscolex;corethrurus;;NE
641;;;Turedrilus Righi, 1993;Turedrilus;Animalia;Annelida;Clitellata;;;Turedrilus;Turedrilus;;;
642;;;Righiodrilus Zicsi, 1995;Righiodrilus;Animalia;Annelida;Clitellata;Haplotaxida;Glossoscolecidae;Righiodrilus;Righiodrilus;;;
643;;;Diaguita Cordero, 1942;Diaguita;Animalia;Annelida;Clitellata;Haplotaxida;Glossoscolecidae;Diaguita;Diaguita;;;
644;;;Diaguita Cordero, 1942;Diaguita;Animalia;Annelida;Clitellata;Haplotaxida;Glossoscolecidae;Diaguita;Diaguita;;;
645;;;incertae sedis;;incertae sedis;;;;;;;;;
646;;Pontoscolex corethrurus;Pontoscolex corethrurus (Muller, 1856);Pontoscolex corethrurus;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Pontoscolex;Pontoscolex;corethrurus;;NE
647;;Pontoscolex corethrurus;Pontoscolex corethrurus (Muller, 1856);Pontoscolex corethrurus;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Pontoscolex;Pontoscolex;corethrurus;;NE
648;;;Pontoscolex Schmarda, 1861;Pontoscolex;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Pontoscolex;Pontoscolex;;;
649;;;Pontoscolex Schmarda, 1861;Pontoscolex;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Pontoscolex;Pontoscolex;;;
650;;;Righiodrilus Zicsi, 1995;Righiodrilus;Animalia;Annelida;Clitellata;Haplotaxida;Glossoscolecidae;Righiodrilus;Righiodrilus;;;
651;;Pontoscolex corethrurus;Pontoscolex corethrurus (Muller, 1856);Pontoscolex corethrurus;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Pontoscolex;Pontoscolex;corethrurus;;NE
652;;;Pontoscolex Schmarda, 1861;Pontoscolex;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Pontoscolex;Pontoscolex;;;
653;;Pontoscolex corethrurus;Pontoscolex corethrurus (Muller, 1856);Pontoscolex corethrurus;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Pontoscolex;Pontoscolex;corethrurus;;NE
654;;;Righiodrilus Zicsi, 1995;Righiodrilus;Animalia;Annelida;Clitellata;Haplotaxida;Glossoscolecidae;Righiodrilus;Righiodrilus;;;
655;;;Righiodrilus Zicsi, 1995;Righiodrilus;Animalia;Annelida;Clitellata;Haplotaxida;Glossoscolecidae;Righiodrilus;Righiodrilus;;;
656;;;Glossodrilus Cognetti de Martiis, 1905;Glossodrilus;Animalia;Annelida;Clitellata;Haplotaxida;Glossoscolecidae;Glossodrilus;Glossodrilus;;;
657;;Pontoscolex corethrurus;Pontoscolex corethrurus (Muller, 1856);Pontoscolex corethrurus;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Pontoscolex;Pontoscolex;corethrurus;;NE
658;;Pontoscolex corethrurus;Pontoscolex corethrurus (Muller, 1856);Pontoscolex corethrurus;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Pontoscolex;Pontoscolex;corethrurus;;NE
659;;;Turedrilus Righi, 1993;Turedrilus;Animalia;Annelida;Clitellata;;;Turedrilus;Turedrilus;;;
660;;Pontoscolex corethrurus;Pontoscolex corethrurus (Muller, 1856);Pontoscolex corethrurus;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Pontoscolex;Pontoscolex;corethrurus;;NE
661;;Pontoscolex corethrurus;Pontoscolex corethrurus (Muller, 1856);Pontoscolex corethrurus;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Pontoscolex;Pontoscolex;corethrurus;;NE
662;;;Pontoscolex Schmarda, 1861;Pontoscolex;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Pontoscolex;Pontoscolex;;;
663;;;Turedrilus Righi, 1993;Turedrilus;Animalia;Annelida;Clitellata;;;Turedrilus;Turedrilus;;;
664;;Pontoscolex corethrurus;Pontoscolex corethrurus (Muller, 1856);Pontoscolex corethrurus;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Pontoscolex;Pontoscolex;corethrurus;;NE
665;;;incertae sedis;;incertae sedis;;;;;;;;;
666;;;Andiorrhinus (Quibario) Quibario;Andiorrhinus;Animalia;Annelida;Clitellata;Haplotaxida;Glossoscolecidae;Andiorrhinus;Andiorrhinus;;;
667;;;incertae sedis;;incertae sedis;;;;;;;;;
668;;;incertae sedis;;incertae sedis;;;;;;;;;
669;;;Righiodrilus Zicsi, 1995;Righiodrilus;Animalia;Annelida;Clitellata;Haplotaxida;Glossoscolecidae;Righiodrilus;Righiodrilus;;;
670;;;Andiorrhinus (Quibario) Quibario;Andiorrhinus;Animalia;Annelida;Clitellata;Haplotaxida;Glossoscolecidae;Andiorrhinus;Andiorrhinus;;;
671;;Pontoscolex corethrurus;Pontoscolex corethrurus (Muller, 1856);Pontoscolex corethrurus;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Pontoscolex;Pontoscolex;corethrurus;;NE
672;;;Andiorrhinus (Quibario) Quibario;Andiorrhinus;Animalia;Annelida;Clitellata;Haplotaxida;Glossoscolecidae;Andiorrhinus;Andiorrhinus;;;
673;;Pontoscolex corethrurus;Pontoscolex corethrurus (Muller, 1856);Pontoscolex corethrurus;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Pontoscolex;Pontoscolex;corethrurus;;NE
674;;;incertae sedis;;incertae sedis;;;;;;;;;
675;;;Righiodrilus Zicsi, 1995;Righiodrilus;Animalia;Annelida;Clitellata;Haplotaxida;Glossoscolecidae;Righiodrilus;Righiodrilus;;;
676;;;Andiorrhinus (Quibario) Quibario;Andiorrhinus;Animalia;Annelida;Clitellata;Haplotaxida;Glossoscolecidae;Andiorrhinus;Andiorrhinus;;;
677;;;Righiodrilus Zicsi, 1995;Righiodrilus;Animalia;Annelida;Clitellata;Haplotaxida;Glossoscolecidae;Righiodrilus;Righiodrilus;;;
678;;;Andiorrhinus (Quibario) Quibario;Andiorrhinus;Animalia;Annelida;Clitellata;Haplotaxida;Glossoscolecidae;Andiorrhinus;Andiorrhinus;;;
679;;;incertae sedis;;incertae sedis;;;;;;;;;
680;;;incertae sedis;;incertae sedis;;;;;;;;;
681;;;incertae sedis;;incertae sedis;;;;;;;;;
682;;Pontoscolex corethrurus;Pontoscolex corethrurus (Muller, 1856);Pontoscolex corethrurus;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Pontoscolex;Pontoscolex;corethrurus;;NE
683;;;incertae sedis;;incertae sedis;;;;;;;;;
684;;;Andiorrhinus (Quibario) Quibario;Andiorrhinus;Animalia;Annelida;Clitellata;Haplotaxida;Glossoscolecidae;Andiorrhinus;Andiorrhinus;;;
685;;;Pontoscolex Schmarda, 1861;Pontoscolex;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Pontoscolex;Pontoscolex;;;
686;;;Turedrilus Righi, 1993;Turedrilus;Animalia;Annelida;Clitellata;;;Turedrilus;Turedrilus;;;
687;;;Glossodrilus Cognetti de Martiis, 1905;Glossodrilus;Animalia;Annelida;Clitellata;Haplotaxida;Glossoscolecidae;Glossodrilus;Glossodrilus;;;
688;;;Rhinodrilus Perrier, 1872;Rhinodrilus;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Rhinodrilus;Rhinodrilus;;;
689;;;Magelona F.Müller, 1858;Magelona;Animalia;Annelida;Polychaeta;;Magelonidae;Magelona;Magelona;;;
690;;Pontoscolex corethrurus;Pontoscolex corethrurus (Muller, 1856);Pontoscolex corethrurus;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Pontoscolex;Pontoscolex;corethrurus;;NE
691;;;Andiorrhinus (Quibario) Quibario;Andiorrhinus;Animalia;Annelida;Clitellata;Haplotaxida;Glossoscolecidae;Andiorrhinus;Andiorrhinus;;;
692;;;Mediomastus Hartman, 1944;Mediomastus;Animalia;Annelida;Polychaeta;;Capitellidae;Mediomastus;Mediomastus;;;
693;;;incertae sedis;;incertae sedis;;;;;;;;;
694;;;Andiorrhinus (Quibario) Quibario;Andiorrhinus;Animalia;Annelida;Clitellata;Haplotaxida;Glossoscolecidae;Andiorrhinus;Andiorrhinus;;;
695;;Capitella ovincola;Capitella ovincola Hartman, 1947;Capitella ovincola;Animalia;Annelida;Polychaeta;;Capitellidae;Capitella;Capitella;ovincola;;NE
696;;Isolda pulchella;Isolda pulchella Müller, 1858;Isolda pulchella;Animalia;Annelida;Polychaeta;;Melinnidae;Isolda;Isolda;pulchella;;NE
697;;;incertae sedis;;incertae sedis;;;;;;;;;
698;;;incertae sedis;;incertae sedis;;;;;;;;;
699;;;incertae sedis;;incertae sedis;;;;;;;;;
700;;;Leodamas Kinberg, 1866;Leodamas;Animalia;Annelida;Polychaeta;;Orbiniidae;Leodamas;Leodamas;;;
701;;;Boccardiella Blake & Kudenov, 1978;Bocardiella;Animalia;Annelida;Polychaeta;;Spionidae;Boccardiella;Boccardiella;;;
702;;Pontoscolex corethrurus;Pontoscolex corethrurus (Muller, 1856);Pontoscolex corethrurus;Animalia;Annelida;Clitellata;Crassiclitellata;Rhinodrilidae;Pontoscolex;Pontoscolex;corethrurus;;NE
703;;;incertae sedis;;incertae sedis;;;;;;;;;
704;;;Andiorrhinus (Quibario) Quibario;Andiorrhinus;Animalia;Annelida;Clitellata;Haplotaxida;Glossoscolecidae;Andiorrhinus;Andiorrhinus;;;
