id;continent;countryCode;stateProvince;county;locality;decimalLatitude;decimalLongitude
789;SOUTH_AMERICA;BR;Pará;Melgaço;Caxiuanã. PPBio project. A transect;-1.960217;-51.618897
790;SOUTH_AMERICA;BR;Pará;Melgaço;Caxiuanã. PPBio project. A transect;-1.960217;-51.618897
791;SOUTH_AMERICA;BR;Pará;Melgaço;Caxiuanã. ECFP;-1.736933;-51.454931
792;SOUTH_AMERICA;BR;Pará;Melgaço;Caxiuanã. PPBio project. A transect;-1.960217;-51.618897
793;SOUTH_AMERICA;BR;Pará;Melgaço;Caxiuanã. PPBio project. A transect;-1.960217;-51.618897
794;SOUTH_AMERICA;BR;Pará;Melgaço;Caxiuanã. PPBio project. A transect;-1.960217;-51.618897
795;SOUTH_AMERICA;BR;Pará;Melgaço;Caxiuanã. PPBio project. A transect;-1.960217;-51.618897
796;SOUTH_AMERICA;BR;Pará;Melgaço;Caxiuanã. PPBio project. A transect;-1.960217;-51.618897
797;SOUTH_AMERICA;BR;Pará;Melgaço;Caxiuanã. PPBio project. A transect;-1.960217;-51.618897
798;SOUTH_AMERICA;BR;Pará;Melgaço;Caxiuanã. PPBio project. A transect;-1.960217;-51.618897
799;SOUTH_AMERICA;BR;Pará;Melgaço;Caxiuanã. PPBio project. A transect;-1.960217;-51.618897
800;SOUTH_AMERICA;BR;Pará;Melgaço;Caxiuanã. PPBio project. A transect;-1.960217;-51.618897
801;SOUTH_AMERICA;BR;Pará;Melgaço;Caxiuanã. PPBio project. A transect;-1.960217;-51.618897
802;SOUTH_AMERICA;BR;Pará;Melgaço;Caxiuanã. PPBio project. A transect;-1.960217;-51.618897
803;SOUTH_AMERICA;BR;Pará;Melgaço;Caxiuanã. PPBio project. A transect;-1.960217;-51.618897
804;SOUTH_AMERICA;BR;Pará;Melgaço;Caxiuanã. PPBio project. A transect;-1.960217;-51.618897
805;SOUTH_AMERICA;BR;Pará;Melgaço;Caxiuanã. PPBio project. A transect;-1.960217;-51.618897
806;SOUTH_AMERICA;BR;Pará;Melgaço;Caxiuanã. PPBio project. A transect;-1.960217;-51.618897
807;SOUTH_AMERICA;BR;Pará;Melgaço;Caxiuanã. PPBio project. A transect;-1.960217;-51.618897
808;SOUTH_AMERICA;BR;Pará;Melgaço;Caxiuanã. PPBio project. A transect;-1.960217;-51.618897
809;SOUTH_AMERICA;BR;Pará;Melgaço;Caxiuanã. PPBio project. A transect;-1.960217;-51.618897
810;SOUTH_AMERICA;BR;Pará;Melgaço;Caxiuanã. PPBio project. A transect;-1.960217;-51.618897
811;SOUTH_AMERICA;BR;Pará;Melgaço;Caxiuanã. PPBio project. A transect;-1.960217;-51.618897
812;SOUTH_AMERICA;BR;Pará;Melgaço;Caxiuanã. PPBio project. A transect;-1.960217;-51.618897
813;SOUTH_AMERICA;BR;Pará;Melgaço;Caxiuanã. PPBio project. A transect;-1.960217;-51.618897
814;SOUTH_AMERICA;BR;Pará;Melgaço;Caxiuanã. PPBio project. A transect;-1.960217;-51.618897
815;SOUTH_AMERICA;BR;Pará;Melgaço;Caxiuanã. PPBio project. A transect;-1.960217;-51.618897
816;SOUTH_AMERICA;BR;Pará;Melgaço;Caxiuanã. PPBio project. A transect;-1.960217;-51.618897
817;SOUTH_AMERICA;BR;Pará;Parauabepas;Palmares-Lote Baianinho;-5.849722;-49.865556
818;SOUTH_AMERICA;BR;Pará;Melgaço;Caxiuanã. PPBio project. A transect;-1.960217;-51.618897
819;SOUTH_AMERICA;BR;Pará;Melgaço;Caxiuanã. PPBio project. A transect;-1.960217;-51.618897
820;SOUTH_AMERICA;BR;Pará;Melgaço;Caxiuanã. PPBio project. A transect;-1.960217;-51.618897
821;SOUTH_AMERICA;BR;Pará;Pacajá;Lote Domingos Ferro;-3.705833;-51.035
822;SOUTH_AMERICA;BR;Pará;Melgaço;Caxiuanã. PPBio project. A transect;-1.960217;-51.618897
823;SOUTH_AMERICA;BR;Pará;Nova Ipixuna;Maçaranduba-Lote Josias;-4.806111;-49.317778
824;SOUTH_AMERICA;BR;Pará;Melgaço;Caxiuanã. PPBio project. A transect;-1.960217;-51.618897
825;SOUTH_AMERICA;BR;Pará;Melgaço;Caxiuanã. PPBio project. A transect;-1.960217;-51.618897
826;SOUTH_AMERICA;BR;Pará;Melgaço;Caxiuanã. PPBio project. A transect;-1.960217;-51.618897
827;SOUTH_AMERICA;BR;Pará;Melgaço;Caxiuanã. PPBio project. A transect;-1.960217;-51.618897
828;SOUTH_AMERICA;BR;Pará;Melgaço;Caxiuanã. PPBio project. A transect;-1.960217;-51.618897
829;SOUTH_AMERICA;BR;Pará;Parauabepas;Palmares-Lote Mearim;-5.849722;-49.865556
830;SOUTH_AMERICA;BR;Pará;Parauabepas;Palmares-Lote Baianinho;-5.849722;-49.865556
831;SOUTH_AMERICA;BR;Pará;Pacajá;Lote Luis Merenda;-3.705833;-51.035
832;SOUTH_AMERICA;BR;Pará;Nova Ipixuna;Maçaranduba-Lote Geni;-4.806111;-49.317778
833;SOUTH_AMERICA;BR;Pará;Melgaço;Caxiuanã. PPBio project. A transect;-1.960217;-51.618897
834;SOUTH_AMERICA;BR;Pará;Parauabepas;Palmares-Lote Baianinho;-5.849722;-49.865556
835;SOUTH_AMERICA;BR;Pará;Parauabepas;Palmares-Lote Baianinho;-5.849722;-49.865556
836;SOUTH_AMERICA;BR;Pará;Melgaço;Caxiuanã. PPBio project. A transect;-1.960217;-51.618897
837;SOUTH_AMERICA;BR;Pará;Melgaço;Caxiuanã. PPBio project. A transect;-1.960217;-51.618897
838;SOUTH_AMERICA;BR;Pará;Melgaço;Caxiuanã. PPBio project. A transect;-1.960217;-51.618897
839;SOUTH_AMERICA;BR;Pará;Melgaço;Caxiuanã. PPBio project. A transect;-1.960217;-51.618897
840;SOUTH_AMERICA;BR;Pará;Melgaço;Caxiuanã. PPBio project. A transect;-1.960217;-51.618897
841;SOUTH_AMERICA;BR;Pará;Parauabepas;Palmares-Lote Mearim;-5.849722;-49.865556
